supermarket,variant,pack.size,split,n_total,train,test,cutoff,d,adf_pval,order,exog,MAE,RMSE,MAPE_%,error
supermarket-A,flavoured,0 - 350 GR,Split_80_20_min12,36,24.0,12.0,2022-12-31,1.0,0.481215,"(0, 1, 2)","unit.sales,value.sales,price",338.2122,487.0478,5.633,
supermarket-A,flavoured,0 - 350 GR,Split_80pct_floor,36,28.0,8.0,2023-04-30,0.0,0.040418,"(1, 0, 2)","unit.sales,value.sales,price",499.4902,593.2512,6.2426,
supermarket-B,vegan,0 - 350 GR,Split_80_20_min12,36,24.0,12.0,2022-12-31,1.0,0.956353,"(0, 1, 2)","unit.sales,value.sales,price",5.6202,7.6106,0.4419,
supermarket-B,vegan,0 - 350 GR,Split_80pct_floor,36,28.0,8.0,2023-04-30,0.0,0.033482,"(1, 0, 2)","unit.sales,value.sales,price",8.7077,10.6098,0.9321,
supermarket-D,standard,351 - 500 GR,Split_80_20_min12,36,24.0,12.0,2022-12-31,1.0,0.988689,"(2, 1, 2)","unit.sales,value.sales,price",4076.0751,4622.8803,1.577,
supermarket-D,standard,351 - 500 GR,Split_80pct_floor,36,28.0,8.0,2023-04-30,1.0,0.972439,"(1, 1, 2)","unit.sales,value.sales,price",1534.942,1636.3531,0.4728,
supermarket-D,light,351 - 500 GR,Split_80_20_min12,36,24.0,12.0,2022-12-31,1.0,0.121425,"(0, 1, 2)","unit.sales,value.sales,price",5969.2282,6873.1027,274.5314,
supermarket-D,light,351 - 500 GR,Split_80pct_floor,36,28.0,8.0,2023-04-30,0.0,0.000124,"(0, 0, 2)","unit.sales,value.sales,price",719.6634,1037.1985,0.6958,
supermarket-D,flavoured,0 - 350 GR,Split_80_20_min12,36,24.0,12.0,2022-12-31,1.0,0.88666,"(1, 1, 2)","unit.sales,value.sales,price",673.1562,735.8666,2.2384,
supermarket-D,flavoured,0 - 350 GR,Split_80pct_floor,36,28.0,8.0,2023-04-30,1.0,0.061851,"(1, 1, 2)","unit.sales,value.sales,price",185.375,203.567,0.6304,
supermarket-C,standard,701 - 1000 GR,Split_80_20_min12,36,24.0,12.0,2022-12-31,1.0,0.399251,"(0, 1, 0)","unit.sales,value.sales,price",0.0,0.0,0.0,
supermarket-C,standard,701 - 1000 GR,Split_80pct_floor,36,28.0,8.0,2023-04-30,0.0,0.014974,"(1, 0, 0)","unit.sales,value.sales,price",0.0,0.0,0.0,
supermarket-C,standard,351 - 500 GR,Split_80_20_min12,36,24.0,12.0,2022-12-31,1.0,0.999088,"(2, 1, 2)","unit.sales,value.sales,price",341.6408,419.5397,0.4569,
supermarket-C,standard,351 - 500 GR,Split_80pct_floor,36,28.0,8.0,2023-04-30,1.0,0.699911,"(2, 1, 2)","unit.sales,value.sales,price",410.7325,478.837,0.5008,
supermarket-C,standard,0 - 350 GR,Split_80_20_min12,36,24.0,12.0,2022-12-31,1.0,0.615409,"(2, 1, 0)","unit.sales,value.sales,price",0.001,0.0017,0.0026,
supermarket-C,standard,0 - 350 GR,Split_80pct_floor,36,28.0,8.0,2023-04-30,1.0,0.272423,"(0, 1, 2)","unit.sales,value.sales,price",0.0004,0.0005,0.0001,
supermarket-C,light,701 - 1000 GR,Split_80_20_min12,36,24.0,12.0,2022-12-31,1.0,0.073749,"(0, 1, 0)","unit.sales,value.sales,price",0.0,0.0,0.0,
supermarket-C,light,701 - 1000 GR,Split_80pct_floor,36,28.0,8.0,2023-04-30,0.0,0.014498,"(1, 0, 0)","unit.sales,value.sales,price",0.0,0.0,0.0,
supermarket-C,light,351 - 500 GR,Split_80_20_min12,36,24.0,12.0,2022-12-31,1.0,0.996802,"(0, 1, 2)","unit.sales,value.sales,price",939.395,1244.1143,1.146,
supermarket-C,light,351 - 500 GR,Split_80pct_floor,36,28.0,8.0,2023-04-30,1.0,0.979604,"(0, 1, 2)","unit.sales,value.sales,price",1056.1241,1345.7696,1.3934,
supermarket-A,light,351 - 500 GR,Split_80_20_min12,36,24.0,12.0,2022-12-31,0.0,0.036504,"(0, 0, 2)","unit.sales,value.sales,price",0.4888,0.5995,0.0047,
supermarket-A,light,351 - 500 GR,Split_80pct_floor,36,28.0,8.0,2023-04-30,1.0,0.239895,"(2, 1, 0)","unit.sales,value.sales,price",0.1008,0.1118,0.0002,
supermarket-C,flavoured,0 - 350 GR,Split_80_20_min12,36,24.0,12.0,2022-12-31,0.0,0.000163,"(2, 0, 2)","unit.sales,value.sales,price",4189.0317,5232.3696,22.8098,
supermarket-C,flavoured,0 - 350 GR,Split_80pct_floor,36,28.0,8.0,2023-04-30,0.0,0.000347,"(1, 0, 2)","unit.sales,value.sales,price",678.2085,772.055,3.3915,
supermarket-B,standard,351 - 500 GR,Split_80_20_min12,36,24.0,12.0,2022-12-31,0.0,2e-05,"(0, 0, 2)","unit.sales,value.sales,price",7241.8197,7709.4996,13.1284,
supermarket-B,standard,351 - 500 GR,Split_80pct_floor,36,28.0,8.0,2023-04-30,0.0,6e-05,"(1, 0, 2)","unit.sales,value.sales,price",7993.4474,8819.663,10.8396,
supermarket-B,light,351 - 500 GR,Split_80_20_min12,36,24.0,12.0,2022-12-31,1.0,0.232466,"(0, 1, 2)","unit.sales,value.sales,price",984.7338,1123.3582,21.1847,
supermarket-B,light,351 - 500 GR,Split_80pct_floor,36,28.0,8.0,2023-04-30,1.0,0.814594,"(0, 1, 2)","unit.sales,value.sales,price",1329.8721,1364.0115,4.0152,
supermarket-A,vegan,0 - 350 GR,Split_80_20_min12,36,24.0,12.0,2022-12-31,0.0,0.003538,"(1, 0, 0)","unit.sales,value.sales,price",0.0,0.0,0.0,
supermarket-A,vegan,0 - 350 GR,Split_80pct_floor,36,28.0,8.0,2023-04-30,0.0,0.001199,"(1, 0, 0)","unit.sales,value.sales,price",0.0,0.0,0.0,
supermarket-A,standard,351 - 500 GR,Split_80_20_min12,36,24.0,12.0,2022-12-31,1.0,0.157104,"(2, 1, 0)","unit.sales,value.sales,price",1.7109,2.0653,0.0064,
supermarket-A,standard,351 - 500 GR,Split_80pct_floor,36,28.0,8.0,2023-04-30,0.0,0.010775,"(2, 0, 0)","unit.sales,value.sales,price",1.8981,2.2879,0.0021,
supermarket-D,vegan,0 - 350 GR,Split_80_20_min12,36,24.0,12.0,2022-12-31,1.0,0.279287,"(0, 1, 2)","unit.sales,value.sales,price",153.0464,168.6804,4.6471,
supermarket-D,vegan,0 - 350 GR,Split_80pct_floor,36,28.0,8.0,2023-04-30,1.0,0.896252,"(0, 1, 2)","unit.sales,value.sales,price",70.1479,79.4864,2.4293,
supermarket-B,light,701 - 1000 GR,Split_80_20_min12,35,23.0,12.0,2022-11-30,1.0,0.756597,"(0, 1, 0)","unit.sales,value.sales,price",0.0,0.0,0.0,
supermarket-B,light,701 - 1000 GR,Split_80pct_floor,35,28.0,7.0,2023-04-30,1.0,0.877085,"(0, 1, 0)","unit.sales,value.sales,price",0.0,0.0,0.0,
supermarket-B,standard,701 - 1000 GR,Split_80_20_min12,34,22.0,12.0,2022-10-31,1.0,0.99891,"(0, 1, 0)","unit.sales,value.sales,price",0.0,0.0,0.0,
supermarket-B,standard,701 - 1000 GR,Split_80pct_floor,34,27.0,7.0,2023-03-31,1.0,0.575138,"(0, 1, 0)","unit.sales,value.sales,price",0.0,0.0,0.0,
supermarket-B,flavoured,0 - 350 GR,Split_80_20_min12,33,21.0,12.0,2022-12-31,0.0,0.012332,"(2, 0, 2)","unit.sales,value.sales,price",80775.3042,164200.7781,815.4336,
supermarket-B,flavoured,0 - 350 GR,Split_80pct_floor,33,26.0,7.0,2023-05-31,1.0,0.235701,"(0, 1, 2)","unit.sales,value.sales,price",1506.3641,1608.3652,14.548,
supermarket-B,standard,0 - 350 GR,Split_80_20_min12,25,13.0,12.0,2022-04-30,0.0,0.000582,"(2, 0, 1)","unit.sales,value.sales,price",0.0024,0.0028,0.9445,
supermarket-B,standard,0 - 350 GR,Split_80pct_floor,25,20.0,5.0,2022-11-30,1.0,0.079994,"(1, 1, 0)","unit.sales,value.sales,price",0.0004,0.0004,0.2471,
supermarket-D,light,501 - 700 GR,Split_80_20_min12,20,8.0,12.0,2021-08-31,1.0,0.105953,"(0, 1, 0)","unit.sales,value.sales,price",0.0042,0.0144,0.0029,
supermarket-D,light,501 - 700 GR,Split_80pct_floor,20,16.0,4.0,2022-04-30,1.0,0.879718,"(2, 1, 0)","unit.sales,value.sales,price",0.0229,0.0271,1.0689,
supermarket-A,standard,701 - 1000 GR,SKIP,19,,,,,,,,,,,short_series
supermarket-A,light,701 - 1000 GR,SKIP,11,,,,,,,,,,,short_series
supermarket-C,light,0 - 350 GR,SKIP,8,,,,,,,,,,,short_series
supermarket-D,standard,0 - 350 GR,SKIP,8,,,,,,,,,,,short_series
